Name,Gun,Manufacturer,Burst,Element,Class,Rarity,Reload Time,Ammo,RoF,RoF/60,Burst value,"F1, 0.000","F2, 0.033","F3, 0.067","F4, 0.100","F5, 0.133","F6, 0.167","F7, 0.200","F8, 0.233","F9, 0.267","F10, 0.300","F11, 0.333","F12, 0.367","F13, 0.400","F14, 0.433","F15, 0.467","F16, 0.500","F17, 0.533","F18, 0.567","F19, 0.600","F20, 0.633","F21, 0.667","F22, 0.700","F23, 0.733","F24, 0.767","F25, 0.800","F26, 0.833","F27, 0.867","F28, 0.900","F29, 0.933","F30, 0.967","F31, 1.000","F32, 1.033","F33, 1.067","F34, 1.100","F35, 1.133","F36, 1.167","F37, 1.200","F38, 1.233","F39, 1.267","F40, 1.300","F41, 1.333","F42, 1.367","F43, 1.400","F44, 1.433","F45, 1.467","F46, 1.500","F47, 1.533","F48, 1.567","F49, 1.600","F50, 1.633","F51, 1.667","F52, 1.700","F53, 1.733","F54, 1.767","F55, 1.800","F56, 1.833","F57, 1.867","F58, 1.900","F59, 1.933","F60, 1.967","F61, 2.000","F62, 2.033","F63, 2.067","F64, 2.100","F65, 2.133","F66, 2.167","F67, 2.200","F68, 2.233","F69, 2.267","F70, 2.300","F71, 2.333","F72, 2.367","F73, 2.400","F74, 2.433","F75, 2.467","F76, 2.500","F77, 2.533","F78, 2.567","F79, 2.600","F80, 2.633","F81, 2.667","F82, 2.700","F83, 2.733","F84, 2.767","F85, 2.800","F86, 2.833","F87, 2.867","F88, 2.900","F89, 2.933","F90, 2.967","F91, 3.000","F92, 3.033","F93, 3.067","F94, 3.100","F95, 3.133","F96, 3.167","F97, 3.200","F98, 3.233","F99, 3.267","F100, 3.300","F101, 3.333","F102, 3.367","F103, 3.400","F104, 3.433","F105, 3.467","F106, 3.500","F107, 3.533","F108, 3.567","F109, 3.600","F110, 3.633","F111, 3.667","F112, 3.700","F113, 3.733","F114, 3.767","F115, 3.800","F116, 3.833","F117, 3.867","F118, 3.900","F119, 3.933","F120, 3.967","F121, 4.000","F122, 4.033","F123, 4.067","F124, 4.100","F125, 4.133","F126, 4.167","F127, 4.200","F128, 4.233","F129, 4.267","F130, 4.300","F131, 4.333","F132, 4.367","F133, 4.400","F134, 4.433","F135, 4.467","F136, 4.500","F137, 4.533","F138, 4.567","F139, 4.600","F140, 4.633","F141, 4.667","F142, 4.700","F143, 4.733","F144, 4.767","F145, 4.800","F146, 4.833","F147, 4.867","F148, 4.900","F149, 4.933","F150, 4.967"
Helm Treasure(s2+max s1),SR,Elysion,B3,Water,Attacker,SSR,2,6,60,1,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,39.82,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,59.73,79.64,79.64
Trina,Clip RL,Missilis,B2,Electric,Supporter,SSR,2.5,6,60,1,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,57.6,57.6
Anis,Clip RL,Tetra,B2,Iron,Defender,SR,2,6,60,1,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,56.8,56.8
Jackal,Clip RL,Missilis,B1,Iron,Defender,SSR,2,6,60,1,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,28.4,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,56.8,56.8
Centi,Clip RL,Missilis,B1,Iron,Defender,SSR,2,6,60,1,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,55.2,55.2
Helm treasure(s1 lvl 4),SR,Elysion,B2,Water,Attacker,SSR,2,6,60,1,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.42,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,52.84,52.84
Rumani,Clip RL,Tetra,B3,Fire,Attacker,SSR,2,6,60,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,52,52
Emilia,RL (Special),Abnormal,B1,Water,Attacker,SSR,2,6,60,1,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,50.4,50.4
Emilia(21% CS),RL (Special),Abnormal,B3,Water,Attacker,SSR,2,6,60,1,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4
Noah,RL (Special),Pilgrim,B2,Wind,Attacker,SSR,2,6,60,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,48,48
